area,city,floor,location,price,rooms,source,square_price,title,opstina,latitude,longitude
34,Beograd,2,"Zemun - Centar, Zemun, Zemun opština",81900,1.0,4zida,2409,Svetosavska,Zemun,44.8444,20.4123996
109,Beograd,0.5," Opština Stari grad, Centar, Palmotićeva",290000,3.0,halooglasi,2661,Palmotićeva Palmotićeva Stari grad Beograd Srbi...,Stari Grad,44.8161536,20.4710814
88,Beograd,3," Opština Vračar, Neimar, ",264000,4.0,halooglasi,3000,"88m2 – Šumatovačka, Vračar, beograd",Vračar,44.7943605,20.4726086
86,Beograd,4,"Crveni Krst Zvezdara, Zvezdara opština",270000,2.0,4zida,3140,Golubačka,Zvezdara,44.803527,20.4815513
45,Beograd,1," Opština Novi Beograd, Blok 72, Dr Ivana Ribara",123000,1.5,halooglasi,2733,"Blok 72, Dr Ivana Ribara",Novi Beograd,44.8011732,20.3671694
52,Beograd,p,"Rvati, Obrenovac opština",61800,2.0,4zida,2289,PRIMAVERA,Obrenovac,44.6556172,20.1965544
85,Beograd,1," Opština Novi Beograd, Blok 62, Jurija Gagarina",198000,3.5,halooglasi,2329,"Troiposoban stan,blok  62",Novi Beograd,44.8033301,20.3775513
115,Beograd,2," Opština Voždovac, FON - Bilećka, Ljube Šercera",200000,4.0,halooglasi,1739,"Vozdovac, Ljube Sercera",Voždovac,44.7725326,20.4751335
45,Beograd,17," Opština Voždovac, Braće Jerković, Braće Jerković 72",93500,1.5,halooglasi,2078,TOP PONUDA direktno od vlasnika,Voždovac,44.7661287,20.4912391
72,Beograd,1," Opština Savski venac, Beograd na vodi, BW TERRACES",420000,2.0,halooglasi,5915,"BW Terraces, Beograd na vodi, 2.0, namešten stan n",Savski Venac,44.8075894,20.4493752
60,Beograd,5," Opština Vračar, Čubura, Šumatovačka",178000,2.5,halooglasi,2967,"Čubura, Šumatovačka",Vračar,44.7951103,20.4808227
68,Beograd,3," Opština Palilula, Višnjička Banja, Mirka Milojkovića",128500,3.0,halooglasi,1907,"Sunnyville,LUX useljiv stan",Palilula,44.8203945,20.5355783
73,Beograd,10," Opština Palilula, Karaburma, Mirijevski bulevar",189800,3.5,halooglasi,2600,Odličan LUX stan na Karaburme,Palilula,44.8138834,20.5206044
35,Beograd,-0.5," Opština Zvezdara, Vukov Spomenik, Đuke Dinić",85000,1.0,halooglasi,2429,"Vukov spomenik, Bulevar, 35m2, uknjižen",Zvezdara,44.8026019,20.4861991
112,Beograd,16," Opština Savski venac, Beograd na vodi, ",463888,4.0,halooglasi,4167,BW Nika - Četvorosoban stan na prodaju,Savski Venac,44.8054456,20.450213
85,Beograd,p," Opština Zemun, Zemun polje, Šandora Majora",150000,3.0,halooglasi,1765,"Zemun Polje, Šandora Majora, 85m2, 3.0 ID#2491",Zemun,44.8742844,20.3183037
70,Beograd,0," Opština Savski venac, Dedinje, Slavka Ćuruvije",260000,2.0,halooglasi,3714,"Savski venac, Dedinje - Slavka Ćuruvije",Savski Venac,44.7615052,20.4545667
107,Beograd,0.5," Opština Vračar, Crveni krst, ",277000,4.0,halooglasi,2589,"Crveni krst, četvorosoban, VPR, 70m2+ terasa  ID19",Vračar,44.7979149,20.4866194
110,Beograd,7," Opština Stari grad, Politika, Stevana Sremca",430000,4.0,halooglasi,3909,Prelep stan na savršenoj mikrolokaciji ID#127104,Stari Grad,44.8157469,20.4647048
80,Beograd,2," Opština Vračar, Pravni fakultet, Kumanovska",382000,3.0,halooglasi,4775,Kumanovska 80m2+18m2 predprostor+4m2 lođa + garaža,Vračar,44.8072919,20.4726165
100,Beograd,2," Opština Voždovac, Autokomanda, Admirala Vukovića",250000,3.0,halooglasi,2500,"Beograd, Autokomanda, Stan, 3.0, 100m2",Voždovac,44.7852736,20.4719649
195,Beograd,p," Opština Čukarica, Filmski grad, Arčibalda Rajsa",369000,4.0,halooglasi,1892,"Čukarica, Filmski grad,Arčibalda Rajsa, 4.0,195m2",Čukarica,44.7518383,20.4277327
116,Beograd,7," Opština Savski venac, Beograd na vodi, Savska",431888,4.0,halooglasi,3723,"BW Quartet 3, pogled na Savski park, useljivo 2024",Savski Venac,44.8063535,20.4546009
50,Beograd,1," Opština Palilula, Borča, Zrenjaninski put",69990,1.5,halooglasi,1400,Uknjizen stan od vlasnika Borca,Palilula,44.8923496,20.4575191
70,Beograd,5," Opština Voždovac, Braće Jerković, Skendera Kulenovića",149000,3.0,halooglasi,2129,Voždovac Skendera Kulenovića,Voždovac,44.7682225,20.4923785
64,Beograd,p," Opština Voždovac, Dušanovac, Ustanička",179000,2.0,halooglasi,2797,"Šumice, 64m2, VII, cg, lux",Voždovac,44.787134,20.4778715
64,Beograd,p," Opština Surčin, Ledine, Višegradska",129990,2.5,halooglasi,2050,Ledine- novogradnja kod hrama Sv.Mateja ID#1780,Surčin,44.8001896,20.3326594
56,Beograd,5,"Šumice, Voždovac opština",147000,2.5,4zida,2625,Ustanička,Voždovac,44.7843997,20.4954275
110,Beograd,p," Opština Rakovica, Vidikovac, Sretena Mladenovića Mike",130000,5.0,halooglasi,1182,Prodajem petosoban stan,Rakovica,44.7347394,20.4221683
141,Beograd,5," Opština Zvezdara, Lipov lad, Đevđelijska",368500,4.5,halooglasi,2613,Lipov lad- Đevđelijska,Zvezdara,44.7956899,20.4944703
56,Beograd,11,"Vidikovac, Rakovica opština",85000,2.0,4zida,1518,Vidikovacki venac,Rakovica,44.738888,20.4230507
61,Beograd,2," Opština Čukarica, Julino brdo, Poučnika Spasič I Mašere",128000,2.0,halooglasi,2098,"Beograd, Julino brdo, Poručnika Spasića i  Mašere,",Čukarica,44.7679761,20.4098406
70,Beograd,1,"Gornji Grad, Zemun, Zemun opština",177800,3.0,4zida,2540,Banijska,Zemun,44.8479687,20.3979626
42,Beograd,0.5," Opština Zemun, Plavi horizonti, Lugarska",69000,2.0,halooglasi,1653,"Top novogradnja, od 31m2 do 63m2, Plavi Horizonti",Zemun,44.8588654,20.3253185
68,Beograd,0," Opština Zvezdara, Mirijevo, Mirijevski venac",145000,3.0,halooglasi,2132,"3.0, Mirijevo, Mirijevski venac, 68m2",Zvezdara,44.7919366,20.5326372
109,Beograd,4," Opština Stari grad, Trg Republike, Bulevar despota Stefana",598000,4.0,halooglasi,5486,Trg Republike - Bulevar despota Stefana 109m2+31m2,Stari Grad,44.8162216,20.4602953
89,Beograd,p," Opština Čukarica, Filmski grad, Veljka Petrovića ",136000,4.0,halooglasi,1528,Extra povoljan uknjiženi stan na Čukarici,Čukarica,44.7541865,20.4258338
22,Beograd,5," Opština Vračar, Južni bulevar, Sime Igumanova",85000,0.5,halooglasi,3864,"Sime Igumanova, Južni bulevar, Vračar ID#1512",Vračar,44.7923041,20.471513
28,Beograd,0," Opština Savski venac, Sarajevska, Sarajevska",59000,2.0,halooglasi,2107,"Centar, Sarajevska, 2.0, 28m2,pr, dvorišno",Savski Venac,44.8011431,20.4520527
47,Beograd,1," Opština Zemun, Batajnica, Kralja Mihaila Zetskog",79900,2.0,halooglasi,1700,"Kod toplane, besplatan parking, dogovor za kes",Zemun,44.8927233,20.294502
90,Beograd,p," Opština Voždovac, Vojvode Vlahovića, ",265000,3.0,halooglasi,2944,"Vojvode Vlahovića, terasa 35m2 i 2 garažna mesta I",Voždovac,44.7593419,20.508876
54,Beograd,0,"Grocka, Grocka opština",52700,1.5,4zida,976,Luneta Milovanovića,Grocka,44.6709248,20.7170219
71,Beograd,p," Opština Zemun, Pregrevica, Pregrevica",220000,3.5,halooglasi,3099,"Troiposoban 71m2, Pregrevica",Zemun,44.8549096,20.3909442
67,Beograd,3," Opština Voždovac, Šumice, Vladimira Tomanovića",143000,2.0,halooglasi,2134,"Šumice, Hotel Srbija, uknjižen, brzo useljiv",Voždovac,44.7857499,20.489139
54,Beograd,2," Opština Stari grad, Dorćol, Gospodar Jovanova",243000,2.0,halooglasi,4500,"Dorćol-G.Jovanova, 54m2, II, ta",Stari Grad,44.8197205,20.4628966
71,Beograd,0," Opština Stari grad, Dorćol, Jevrejska",145000,3.0,halooglasi,2042,"Prodaja, stan, Jevrejska,71m2, Id928",Stari Grad,44.8269406,20.4572571
51,Beograd,12," Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",250000,2.0,halooglasi,4902,"Dvosoban stan u zgradi BW Metropolitan, Belgrade w",Savski Venac,44.8039467,20.450014
71,Beograd,2," Opština Zemun, Save Kovačevića, Drenova",175650,2.5,halooglasi,2500,"Zemun, Sava Kovačević, 2.5, 70m2",Zemun,44.8417884,20.393393
272,Beograd,p," Opština Voždovac, Vojvode Stepe, Admirala Vukovića",750000,4.0,halooglasi,2757,"Voždovac (Beograd), Vojvode Stepe, Stan, 4, 272m2",Voždovac,44.7664894,20.4817341
103,Beograd,4,"Neimar, Vračar",387000,4.0,4zida,3757,Janka Veselinovića,Vračar,44.7941849,20.4780172
77,Beograd,3,"Banovo Brdo, Čukarica, Čukarica opština",200000,3.5,4zida,2597,Požeška,Čukarica,44.7864025,20.4144587
52,Beograd,11," Opština Novi Beograd, Blok 30 (B92), Bulevar Mihajla Pupina",199000,2.0,halooglasi,3827,"Blok 30, 2,0, 52m2, XI, kompletno sređen",Novi Beograd,44.814223,20.4394835
87,Beograd,0.5," Opština Zvezdara, Severni bulevar, Ledinačka",175000,3.5,halooglasi,2011,"Zvezdara, Severni bulevar - Ledinačka, 87m2",Zvezdara,44.8118553,20.4956806
67,Beograd,1," Opština Novi Beograd, Blok 29,  bul.zorana djindjica",187000,2.5,halooglasi,2791,Blok 29,Novi Beograd,44.8163633,20.4194002
134,Beograd,1," Opština Savski venac, Dedinje, Krupanjska",450000,4.0,halooglasi,3358,Izvanredna lokacija - četvorosoban- do petosoban s,Savski Venac,44.7719081,20.4579017
47,Beograd,0," Opština Novi Beograd, Blok 18 (Staro sajmište), Sajmište",115000,2.0,halooglasi,2447,"Hitna prodaja! Novi Beograd - Sajmište, 47m2",Novi Beograd,44.8140083,20.4429849
77,Beograd,2," Opština Zvezdara, Učiteljsko naselje, Zivka Davidovica",204050,2.5,halooglasi,2650,"Prodaja, stan, Zivka Davidovica, 77m2, Id733",Zvezdara,44.7912708,20.5106416
50,Beograd,p," Opština Zvezdara, Bulevar kralja Aleksandra, Bulevar kralja Aleksandra",119900,1.0,halooglasi,2398,Bulevar kralja Aleksandra,Zvezdara,44.7899526,20.514711
105,Beograd,3," Opština Vračar, Čubura, ",350000,3.0,halooglasi,3333,Odličan trosoban komforan stan kod Čuburskog parka,Vračar,44.7981011,20.4756422
92,Beograd,2," Opština Rakovica, Stari Košutnjak, Pere Velimirovića",299000,3.5,halooglasi,3250,Lux 4.0 Lisičji potok / Stari Košutnjak,Rakovica,44.7569508,20.446633
97,Beograd,3," Opština Zvezdara, Cvetkova pijaca, Miodraga Petrovića Čkalje",269000,4.0,halooglasi,2790,"Cvetkova pijaca, Zvezdara ID#1909",Zvezdara,44.7919788,20.5032947
29,Beograd,5," Opština Stari grad, Kalemegdan, Cara Dušana",112000,0.5,halooglasi,3862,"Kalemegdan, 29m2, 0.5, V/6, cg, lift ID#1713",Stari Grad,44.8233906,20.450875
71,Beograd,11,"Blok 62, Bežanijski Blokovi, Novi Beograd",173500,2.0,4zida,2444,Jurija Gagarina,Novi Beograd,44.8028126,20.3736643
70,Beograd,p," Opština Voždovac, Konjarnik, Ustanička",160000,3.0,halooglasi,2286,"Konjarnik, 70m2, VI, cg",Voždovac,44.7833877,20.5018765
86,Beograd,p," Opština Zemun, Centar, Prvomajska",135000,4.0,halooglasi,1570,"Prvomajska, PRVOMAJSKA, Zemun ID#1338",Zemun,44.8410711,20.3967865
58,Beograd,1," Opština Čukarica, Cerak, Šavnička",107000,3.5,halooglasi,1845,"Šavnička, Cerak, Čukarica ID#2248",Čukarica,44.7555864,20.4168161
68,Beograd,0," Opština Palilula, Višnjička Banja, Slobodana Jovanovića",120000,2.0,halooglasi,1765,"Odlična lokacija par minuta od busa, Idee i vrtića",Palilula,44.8153401,20.5365867
61,Beograd,p," Opština Sopot, Rogača, Prvomajska",125000,3.0,halooglasi,2049,"Kosmaj Residence, 61m2, sa parking mestom ID#7698",Sopot,44.459583,20.5216505
51,Beograd,3," Opština Voždovac, Medaković 2, Radovana Simića Cige",110000,1.5,halooglasi,2157,"Voždovac, Medaković 2, Radovana Simića Cige, 46+5m",Voždovac,44.774838,20.4974196
95,Beograd,3," Opština Palilula, Tašmajdan, Kneza Danila",324300,3.0,halooglasi,3414,"Palilula, Tašmajdan - Kneza Danila",Palilula,44.8092198,20.4705954
90,Beograd,5," Opština Novi Beograd, Bežanijska kosa 2, Ljubinke Bobić",269999,3.0,halooglasi,3000,Renovirana nekretnina sa fenomenalnim pogledom,Novi Beograd,44.8137123,20.3791559
57,Beograd,2," Opština Rakovica, Centar, Starca Milije",118000,2.5,halooglasi,2070,"Rakovica-S.Milije, 57m2 II, cg",Rakovica,44.7466382,20.4392903
75,Beograd,p," Opština Voždovac, Banjica, Bulevar Jna",189900,2.5,halooglasi,2532,"Paunov breg, 75m2, VII, cg",Voždovac,44.7562005,20.47756
89,Beograd,1,"Mirijevo, Zvezdara opština",152000,4.0,4zida,1708,Kapetana Miloša Žunjića,Zvezdara,44.7944854,20.527983
56,Beograd,0.5," Opština Voždovac, Šumice, Splitska",142000,2.0,halooglasi,2536,"Šumice, idealna lokacija ID#6888",Voždovac,44.7854672,20.4954605
127,Beograd,6," Opština Savski venac, Palata pravde, Dr Aleksandra Kostića",350000,4.0,halooglasi,2756,"Centar, Dr. Aleksandra Kostića,  127m2 ID#3491",Savski Venac,44.8049284,20.4543835
51,Beograd,p," Opština Novi Beograd, Blok 63, Gandijeva",123500,2.0,halooglasi,2422,Mirno okruženje u bloku 63 ID#5964,Novi Beograd,44.7996201,20.3907458
90,Beograd,0.5," Opština Voždovac, Medaković 3, Braće Srnić",198000,3.5,halooglasi,2200,"Medaković III, 90m2, vp, cg, lux, visina I sprata,",Voždovac,44.7736432,20.5061304
