area,city,floor,location,price,rooms,source,square_price,title
89,Novi Sad,2," Opština Novi Sad , Bistrica ",175050,4.0,halooglasi,1967,Odlična nekretnina u zgradi od fasadne cigle
69,Novi Sad,2," Opština Novi Sad , Bulevar Evrope ",150000,4.0,halooglasi,2174,-Uknjižen četvorosoban stan na izuzetnoj lokaciji-
56,Beograd,2," Opština Stari grad , Dorćol , Venizelosova ",264000,2.0,halooglasi,4723,Prodaja stana kompleks Novi Dorćol
48,Beograd,7," Opština Novi Beograd , Blok 67a (A blok) , Jurija Gagarina ",249500,2.0,halooglasi,5198,"A blok, lux, opremljen, garaža, ID 22161"
64,Beograd,5," Opština Novi Beograd , Blok 45 (TC Enjub) , Jurija Gagarina ",150000,2.0,halooglasi,2344,Jurija Gagarina Blok 45
65,Beograd,1," Opština Palilula , Karaburma , Danteova ",125000,3.0,halooglasi,1923,"Karaburma, Danteova"
100,Beograd,4," Opština Voždovac , Autokomanda , Vojvode Stepe ",270000,3.5,halooglasi,2700,"Autokomanda, novogradnja, garaža, ID 21619"
85,Beograd,2," Opština Novi Beograd , Blok 67a (A blok) , Uroša Martinovića ",355500,3.0,halooglasi,4182,"Savada, lux, novogradnja, garaža, ID 21138"
42,Beograd,5," Opština Vračar , Južni bulevar , Kneza Stracimira ",127500,0.5,halooglasi,3104,"Lux garsonjera, Južni bulevar, Vračar"
90,Beograd,3," Opština Voždovac , Voždovačka crkva , Vojvode Stepe ",235000,3.5,halooglasi,2611,"Voždovac, nov stan, garaža, ID 21544"
108,Beograd,1," Opština Čukarica , Filmski grad , Kneza Višeslava ",252000,4.0,halooglasi,2333,"Filmski grad, veoma lepo sređen, garaža, ID 20320"
42,Beograd,5," Opština Voždovac , Voždovačka crkva , Vojvode Stepe ",160000,1.5,halooglasi,3810,"Voždovac, nova zgrada, garaža, ID 21545"
122,Beograd,2," Opština Vračar , Gospodara Vučića , Gospodara Vučića ",415000,4.0,halooglasi,3402,"Vračar, lux, namešten, garaža, ID 20613"
77,Beograd,-0.5," Opština Vračar , Južni bulevar , Kneza Stracimira ",240000,3.0,halooglasi,3155,"Lux stan u izgradnji, Južni bulevar, Vračar"
101,Beograd,p," Opština Novi Beograd , Blok 67 (Belvil) , Jurija Gagarina ",349990,3.0,halooglasi,3465,"Belvil, lux sređen, garažno mesto, ID 21184"
71,Beograd,p," Opština Vračar , Južni bulevar , Kneza Stracimira ",236000,2.5,halooglasi,3351,"Lux stan u izgradnji, Južni bulevar, Vračar"
78,Beograd,3," Opština Novi Beograd , Hotel Jugoslavija , Aleksinačkih rudara ",215000,2.5,halooglasi,2756,Hotel Jugoslavija | Aleksinačkih rudara | 78m2
49,Beograd,1," Opština Zvezdara , Cvetkova pijaca ",143600,2.0,halooglasi,2931,"Cvetkova pijaca, novogradnja, garaža, ID 22294"
55,Beograd,0.5," Opština Voždovac , Vitanovačka , Gostivarska ",130000,2.0,halooglasi,2364,Voždovac GOSTIVARSKA dvosoban sa garažom
96,Beograd,1," Opština Novi Beograd , Blok 70 (kineski tržni centar) , Gandijeva ",288000,3.0,halooglasi,3000,"Blok 70, Gandijeva, 96 kvm - blizina Save"
52,Beograd,6," Opština Vračar , Južni bulevar , Južni bulevar ",195000,2.0,halooglasi,3750,Južni bulevar
71,Beograd,p," Opština Novi Beograd , Blok 67a (A blok) , Jurija Gagarina ",280000,3.0,halooglasi,3944,"Sun City, lux, novogradnja, garaža, ID 21938"
94,Beograd,2," Opština Novi Beograd , Blok 67a (A blok) , Uroša Martinovića ",410000,4.0,halooglasi,4362,"A blok, lux, namešten, garaže, ID 21922"
93,Beograd,8," Opština Novi Beograd , Blok 65 , Bulevar heroja sa Košara ",415000,3.0,halooglasi,4462,"ZepTerra, lux, novogradnja, garaža, ID 22089"
